Corporate	Category	Brand	SKU	Value 25	Share Value  25	Growth Value 25	Unit 25	Share Unit 25	Growth Unit 25	Value 24	Share Value  24	Growth Value 24	Unit 24	Share Unit 24	Growth Unit 24	Molecule
PLATINUM PHARMA	  IRON FERROUS	   APOFER             		1335689	0.5	6.41	8340	0.58	-2.07	1255173	0.51	-20.74	8516	0.6	-20.74	  IRON FERROUS
THE SCHAZOO PHARMA	  IRON FERROUS	   HEMIFERE           		1144010	0.43	14.5	19227	1.34	14.5	999126	0.4	15.47	16792	1.17	15.47	  IRON FERROUS
RASCO PHARMA	  IRON FERROUS	   POLYHAEM           		904489	0.34	232.18	8051	0.56	220.88	272289	0.11	223.3	2509	0.18	236.78	  IRON FERROUS
KAAP PHARMA	  IRON FERROUS	   FEROX              		866109	0.33	26.81	6793	0.47	26.81	683018	0.28	603.01	5357	0.37	603.02	  IRON FERROUS
AKSON PHARMA	  IRON FERROUS	   HEMITOSE           		819128	0.31	999	6340	0.44	999	0	0	-100	0	0	-100	  IRON FERROUS
GT PHARMA PVT.LTD.	  IRON FERROUS	   CHELIRON           		778898	0.29	-1.17	6109	0.43	-1.72	788134	0.32	-44.84	6216	0.43	-45.78	  IRON FERROUS
SCOTMANN PHARMA	  IRON FERROUS	   FERSIP             		489838	0.18	-84.35	3011	0.21	-88.56	3130771	1.27	-9.34	26309	1.84	-9.34	  IRON FERROUS
MACQUIN INTL	  IRON FERROUS	   M-CARRY            		459876	0.17	999	4585	0.32	999	0	0	-100	0	0	-100	  IRON FERROUS
RG PHARMA PVT LTD	  IRON FERROUS	   IRONONE            		150807237	95.65	-15.31	290832	92.36	-21.66	178079924	96	14.28	371254	92.95	-1.64	  IRON FERROUS
TABROS PHARMA	  IRON FERROUS	   FERRY              		6832622	4.33	-7.84	24012	7.63	-14.69	7413479	4	11.3	28147	7.05	-2.01	  IRON FERROUS
NEUTRO PHARMA	  IRON FERROUS	   LACTOSOME          		33278	0.02	999	49	0.02	999	0	0	0	0	0	0	  IRON FERROUS
GREENSTAR	  IRON FERROUS	   ENOFER             		83924784	55.09	-21.16	68566	49.07	-21.16	106454952	58.31	-4.15	86973	52.46	-20.32	  IRON FERROUS
HORIZON HEALTHCARE	  IRON FERROUS	   IONA               		32948720	21.63	2	48454	34.68	0.05	32302890	17.69	35.17	48428	29.21	3.35	  IRON FERROUS
ZAFA	  IRON FERROUS	   IROFIT             		15017853	9.86	-11.56	7257	5.19	-12.66	16981495	9.3	7.5	8309	5.01	-6.85	  IRON FERROUS
BIO-LABS	  IRON FERROUS	   IROPAS             		11934850	7.83	64.32	7390	5.29	57.97	7263216	3.98	208.99	4678	2.82	138.07	  IRON FERROUS
MASS-PHARMA HEALTH	  IRON FERROUS	   VERIENT            		7236180	4.75	-22.3	7059	5.05	-22.3	9313035	5.1	-7.92	9085	5.48	-7.92	  IRON FERROUS
CELL LABORATORIES	  IRON FERROUS	   IROCELL            		1190850	0.78	-30.09	934	0.67	-30.09	1703400	0.93	-63.2	1336	0.81	-63.2	  IRON FERROUS
CHIESI FARMACEUTIC	  IRON FERROUS	   IROJECT            		87969	0.06	-98.95	65	0.05	-98.95	8362475	4.58	-28.33	6179	3.73	-28.33	  IRON FERROUS
MEDIATE PHARMA	  IRON FERROUS	   MEDI-IS            		0	0	-100	0	0	-100	189600	0.1	-73.81	790	0.48	-73.81	  IRON FERROUS
SEARLE BIOSCIENCES	  IRON FERROUS	   RAPIR              		0	0	0	0	0	0	0	0	-100	0	0	-100	  IRON FERROUS
HILTON	  IRON FERROUS	   FEROSOFT           		55608287	100	0.73	262737	100	-2.32	55205544	100	11.67	268965	100	-1.71	  IRON FERROUS
ASTER LIFE SCIENCE	  IRON FERROUS	 PARENT ORD IV VI		52958400	2.74	999	124608	3.73	999	0	0	0	0	0	0	  IRON FERROUS
RG PHARMA PVT LTD	  IRON FERROUS	   FERVIAL            		52958400	100	999	124608	100	999	0	0	0	0	0	0	  IRON FERROUS
HILTON	  IRON FERROUS	   FEROSOFT           		17071963	53.41	27.74	62037	52.03	21.52	13364173	53.56	-19.56	51051	52.1	-29.34	  IRON FERROUS
SHAIGAN PHARMA	  IRON FERROUS	   IROTON             		14118416	44.17	23.44	50208	42.11	13.08	11437772	45.84	933.22	44401	45.32	849.14	  IRON FERROUS
ROTEX PHARMA	  IRON FERROUS	   MEGATRON           		349410	1.09	999	3678	3.08	999	0	0	0	0	0	0	  IRON FERROUS
LIFE PHARMA. CO.	  IRON FERROUS	   FERRY-CIN          		277211	0.87	999	901	0.76	999	0	0	0	0	0	0	  IRON FERROUS
MEDISURE LABS	  IRON FERROUS	   CHEWRON            		138697	0.43	-7.68	2331	1.96	-7.68	150241	0.6	19.78	2525	2.58	19.78	  IRON FERROUS
GLITZ PHARMA	  IRON FERROUS	   GLOFT              		7069	0.02	999	68	0.06	999	0	0	0	0	0	0	  IRON FERROUS
INDUS	  IRON FERROUS	   INDOFER            		0	0	-100	0	0	-100	1063	0	150.12	5	0.01	150	  IRON FERROUS
ALBRO	  IRON FERROUS	   MAXIFER            		0	0	0	0	0	0	0	0	-100	0	0	-100	  IRON FERROUS
GT PHARMA PVT.LTD.	  IRON FERROUS	   CHELIRON           		6094469	74.01	-44.08	31240	26.55	-48.03	10899311	68.58	12.82	60115	39.67	5.5	  IRON FERROUS
DAVIS PHARMA	  IRON FERROUS	   MALTOVIS           		727486	8.83	-44.97	9318	7.92	-49.29	1321970	8.32	16.23	18376	12.13	16.23	  IRON FERROUS
SCOTMANN PHARMA	  IRON FERROUS	   FERSIP             		372810	4.53	-85.24	3929	3.34	-88.1	2526646	15.9	-11.33	33028	21.79	-11.33	  IRON FERROUS
NAWABSONS	  IRON FERROUS	   FERROUS SULPHATE   		316876	3.85	119.89	45268	38.47	129.8	144107	0.91	61.98	19699	13	57.34	  IRON FERROUS
UNEXO LABS	  IRON FERROUS	   FERROUS SULPHATE   		238332	2.89	116.99	19861	16.88	116.99	109836	0.69	697.3	9153	6.04	697.3	  IRON FERROUS
GOURMET NUTRITION	  IRON FERROUS	   BIC                		135784	1.65	-47.3	674	0.57	-47.3	257667	1.62	227.11	1279	0.84	227.11	  IRON FERROUS
DYSON LABS	  IRON FERROUS	   FANTOMALT          		125971	1.53	124.9	760	0.65	96.89	56012	0.35	540.36	386	0.25	162.59	  IRON FERROUS
RASCO PHARMA	  IRON FERROUS	   POLYHAEM           		123405	1.5	161.21	2074	1.76	161.21	47244	0.3	744.7	794	0.52	744.68	  IRON FERROUS
SAIFVENT PHARMA	  IRON FERROUS	   HEALTOFER          		69279	0.84	999	846	0.72	999	0	0	0	0	0	0	  IRON FERROUS
PANACEA PHARMA	  IRON FERROUS	   DEWFER             		9699	0.12	999	163	0.14	999	0	0	0	0	0	0	  IRON FERROUS
VISION PHARMA	  IRON FERROUS	   FEROMALT           		7225	0.09	-98.39	100	0.08	-98.39	448240	2.82	-82.27	6204	4.09	-82.27	  IRON FERROUS
IRZA PHARMA	  IRON FERROUS	   FERROUS SULPHATE   		6672	0.08	31.24	1668	1.42	31.24	5084	0.03	203.34	1271	0.84	203.34	  IRON FERROUS
IPHCO P	  IRON FERROUS	   FERROUS SULPHATE   		5002	0.06	999	1429	1.21	999	0	0	-100	0	0	-100	  IRON FERROUS
K.C.I.	  IRON FERROUS	   FERROUS SULPHATE   		1724	0.02	538.52	338	0.29	537.74	270	0	-95.9	53	0.03	-95.89	  IRON FERROUS
MIAN BROS LABS.	  IRON FERROUS	   FERROUS SULPHATE   		0	0	-100	0	0	-100	17080	0.11	999	854	0.56	999	  IRON FERROUS
CARAWAY PHARMA	  IRON FERROUS	   OFERA              		0	0	-100	0	0	-100	36581	0.23	-75.63	145	0.1	-75.63	  IRON FERROUS
CANDID PHARMACEU	  IRON FERROUS	   PLEXIFER           		0	0	-100	0	0	-100	22491	0.14	999	189	0.12	999	  IRON FERROUS
ZAM ZAM PHARMA	  IRON FERROUS	   PLEXA              		0	0	0	0	0	0	0	0	-100	0	0	-100	  IRON FERROUS
EXCEL HEALTH CARE	  IRON FERROUS	   REDIFER            		0	0	0	0	0	0	0	0	-100	0	0	-100	  IRON FERROUS
MARTIN DOW LIMITED	  IRON FERROUS	   MALCIFER           		0	0	-100	0	0	-100	853	0.01	-88.89	4	0	-88.89	  IRON FERROUS
AMSON VACC. PH PVT	  IRON FERROUS	   CARIONJECT         		2614600	97.37	-69.88	769	96.73	-69.88	8680200	96.23	-25.24	2553	95.33	-25.24	  IRON FERROUS
GENETICS PHARMA	  IRON FERROUS	   FIBOZID            		70720	2.63	-79.2	26	3.27	-79.2	340000	3.77	-95.89	125	4.67	-95.89	  IRON FERROUS
GLITZ PHARMA	  IRON FERROUS	   FEROLITZ           		2636753	100	-37.91	7954	100	-37.91	4246848	100	999	12811	100	999	  IRON FERROUS
AKSON PHARMA	  IRON FERROUS	   FERIJET            		289850	100	999	341	100	999	0	0	-100	0	0	-100	  IRON FERROUS
L.C.I	  IRON FERROUS	   LIPIRON            		28502	100	-98.24	95	100	-98.3	1622048	100	-12.97	5591	100	-41.23	  IRON FERROUS
HOECHST PAK. LTD.	  METRONIDAZOLE	   FLAGYL             		4004549620	98.35	46.33	5250276	93.22	9.31	2736733388	97.08	45.73	4802929	89.79	7.28	  METRONIDAZOLE
PLATINUM PHARMA	  METRONIDAZOLE	   GRAMEX             		40436835	0.99	38.6	202713	3.6	23.14	29175957	1.03	24.23	164622	3.08	24.23	  METRONIDAZOLE
POPULAR CHEM.WORKS	  METRONIDAZOLE	   METRONIDAZOLE      		21748328	0.53	-52.78	156105	2.77	-53.16	46057978	1.63	-29.38	333281	6.23	-27.81	  METRONIDAZOLE
ZAFA	  METRONIDAZOLE	   METRIDA            		3020262	0.07	-17.6	10507	0.19	-22.58	3665321	0.13	40.19	13572	0.25	16.16	  METRONIDAZOLE
FYNK PHARMA	  METRONIDAZOLE	   FYNIDAZOLE         		1554225	0.04	-9.27	5865	0.1	-9.27	1712960	0.06	999	6464	0.12	999	  METRONIDAZOLE
UNEXO LABS	  METRONIDAZOLE	   METROGYL           		284441	0.01	-68.94	6454	0.11	-70.19	915872	0.03	590.78	21654	0.4	910.92	  METRONIDAZOLE
MEDIATE PHARMA	  METRONIDAZOLE	   METROATE           		36210	0	-53.9	426	0.01	-53.9	78540	0	175	924	0.02	175	  METRONIDAZOLE
MEGA PHARMA	  METRONIDAZOLE	   ECOGYL             		0	0	0	0	0	0	0	0	-100	0	0	-100	  METRONIDAZOLE
SIZA	  METRONIDAZOLE	   METROZIL           		0	0	-100	0	0	-100	680595	0.02	999	5338	0.1	999	  METRONIDAZOLE
SPENCER PHARMA	  METRONIDAZOLE	   TRICHOZOLE         		0	0	-100	0	0	-100	3027	0	-95.35	38	0	-95.09	  METRONIDAZOLE
HOECHST PAK. LTD.	  METRONIDAZOLE	   FLAGYL             		1862345655	68.61	12.16	11382449	63.71	7.72	1660466779	72.95	13.27	10566609	63.55	-3.13	  METRONIDAZOLE
BOSCH	  METRONIDAZOLE	   FLAZOL             		399440760	14.72	35.02	2694292	15.08	7.88	295836275	13	154.54	2497489	15.02	87.12	  METRONIDAZOLE
BOSCH	  METRONIDAZOLE	   TROZ               		160131185	5.9	50.23	1079671	6.04	20.89	106594003	4.68	94.67	893126	5.37	37.81	  METRONIDAZOLE
STANDPHARM	  METRONIDAZOLE	   PROTOXIL           		67510588	2.49	99.71	483705	2.71	-1.27	33804894	1.49	76	489926	2.95	76	  METRONIDAZOLE
THE SEARLE COMPANY	  METRONIDAZOLE	   METROZINE          		58251775	2.15	117.07	417875	2.34	61.52	26835781	1.18	-73.91	258708	1.56	-74.24	  METRONIDAZOLE
SURGE LABS	  METRONIDAZOLE	   INTOBIX            		41460646	1.53	15.07	290512	1.63	-2.51	36029867	1.58	-13.9	297977	1.79	-28.23	  METRONIDAZOLE
GLOBAL	  METRONIDAZOLE	   ANAROB             		32472747	1.2	-22.71	489785	2.74	-22.71	42012918	1.85	83.71	633679	3.81	83.71	  METRONIDAZOLE
PACIFIC	  METRONIDAZOLE	   MEITREO            		25381436	0.94	119.77	184664	1.03	56.28	11548868	0.51	51.86	118165	0.71	41.58	  METRONIDAZOLE
OTSUKA	  METRONIDAZOLE	   OTSUZOL            		19958350	0.74	-38.49	204701	1.15	-38.49	32446249	1.43	40.8	332782	2	37.78	  METRONIDAZOLE
INDUS	  METRONIDAZOLE	   FLATOX             		12504599	0.46	-25.7	120596	0.68	-25.7	16829093	0.74	-33.22	162302	0.98	-35.27	  METRONIDAZOLE
NEUTRO PHARMA	  METRONIDAZOLE	   NEUTROZOL          		11929852	0.44	999	85580	0.48	999	0	0	0	0	0	0	  METRONIDAZOLE
SIZA	  METRONIDAZOLE	   METROZIL           		7704921	0.28	139.92	116213	0.65	139.92	3211508	0.14	-63.38	48439	0.29	-63.38	  METRONIDAZOLE
BIO-LABS	  METRONIDAZOLE	   METROZOLE          		5415314	0.2	999	36947	0.21	999	59339	0	-94.29	712	0	-94.29	  METRONIDAZOLE
MEDIPAK	  METRONIDAZOLE	   MEDIGYL            		4979064	0.18	35.51	75099	0.42	35.51	3674413	0.16	-5.6	55421	0.33	-5.6	  METRONIDAZOLE
S.P.I.C.	  METRONIDAZOLE	   METRONIDAZOLE      		2481616	0.09	-30.21	155101	0.87	-30.21	3555936	0.16	55.66	222246	1.34	55.66	  METRONIDAZOLE
RAAZEE THERAPEUTIC	  METRONIDAZOLE	   NAROBE             		1138317	0.04	555.56	19988	0.11	555.56	173641	0.01	-74.29	3049	0.02	-74.29	  METRONIDAZOLE
OPSO SALINE	  METRONIDAZOLE	   METRO              		1075692	0.04	4.25	21092	0.12	4.25	1031832	0.05	68.14	20232	0.12	68.14	  METRONIDAZOLE
BENTLEY PHARMA	  METRONIDAZOLE	   MURAZOL            		96984	0	999	6257	0.04	999	0	0	-100	0	0	-100	  METRONIDAZOLE
LAGAP	  METRONIDAZOLE	   METROLAG           		75379	0	999	846	0	999	0	0	0	0	0	0	  METRONIDAZOLE
MEDIFLOW	  METRONIDAZOLE	   FLOW MTZ EURO      		0	0	-100	0	0	-100	2116865	0.09	13.54	26381	0.16	-3.67	  METRONIDAZOLE
HOECHST PAK. LTD.	  METRONIDAZOLE	   FLAGYL             		1212127063	62.74	-0.7	9987139	50.27	-6.72	1220668683	65.29	18.21	10706995	53.25	-6.64	  METRONIDAZOLE
THE SEARLE COMPANY	  METRONIDAZOLE	   METROZINE          		406601329	21.04	21.08	5310243	26.73	13.53	335815346	17.96	9.75	4677487	23.26	-3.99	  METRONIDAZOLE
STANLEY PHARMA	  METRONIDAZOLE	   RIAM               		163392187	8.46	10.43	1643596	8.27	19.24	147961299	7.91	27.85	1378375	6.85	-13.51	  METRONIDAZOLE
OPAL	  METRONIDAZOLE	   OPOZOL             		140499171	7.27	12.87	2607783	13.13	1.57	124483262	6.66	30.25	2567459	12.77	11.65	  METRONIDAZOLE
ZAFA	  METRONIDAZOLE	   METRIDA            		2514841	0.13	28.93	48521	0.24	28.51	1950568	0.1	-9.68	37757	0.19	-21.36	  METRONIDAZOLE
SAMI	  METRONIDAZOLE	   KLINT              		2141517	0.11	-93.66	29460	0.15	-94.4	33791343	1.81	999	526412	2.62	999	  METRONIDAZOLE
WIMITS PHARMA	  METRONIDAZOLE	   METOGYL            		1270179	0.07	-38.43	30459	0.15	-43.94	2062982	0.11	-3.01	54332	0.27	-28.21	  METRONIDAZOLE
MEDICON	  METRONIDAZOLE	   MEDIZOLE           		956080	0.05	143.86	119510	0.6	143.86	392056	0.02	-53.29	49007	0.24	-53.29	  METRONIDAZOLE
FYNK PHARMA	  METRONIDAZOLE	   FYNIDAZOLE         		534489	0.03	40.81	13919	0.07	40.81	379582	0.02	-7.38	9885	0.05	-7.38	  METRONIDAZOLE
GLITZ PHARMA	  METRONIDAZOLE	   GRANID             		528982	0.03	-38.99	11949	0.06	-43.46	867096	0.05	-12.75	21132	0.11	-15.24	  METRONIDAZOLE
JAWA PHARMA	  METRONIDAZOLE	   METZOL             		281458	0.01	999	4204	0.02	999	0	0	0	0	0	0	  METRONIDAZOLE
RASCO PHARMA	  METRONIDAZOLE	   RESGYL             		246764	0.01	-38.54	19741	0.1	-38.54	401476	0.02	57.43	32118	0.16	57.43	  METRONIDAZOLE
LISKO	  METRONIDAZOLE	   FLYZOL             		222006	0.01	999	5936	0.03	999	9350	0	-72.43	250	0	-57.26	  METRONIDAZOLE
TITLIS PHARMA	  METRONIDAZOLE	   METROLIS           		183485	0.01	98.39	1845	0.01	98.39	92489	0	999	930	0	999	  METRONIDAZOLE
ISIS PHARMA	  METRONIDAZOLE	   EFLARAN            		165961	0.01	999	9059	0.05	999	0	0	-100	0	0	-100	  METRONIDAZOLE
CARE PHARMACEUTICA	  METRONIDAZOLE	   INSTACARE          		141690	0.01	-28.67	9446	0.05	-28.67	198630	0.01	-33.1	13242	0.07	-33.1	  METRONIDAZOLE
SIZA	  METRONIDAZOLE	   METROZIL           		132028	0.01	37.7	4854	0.02	37.7	95879	0.01	78.12	3525	0.02	78.12	  METRONIDAZOLE
MARVI	  METRONIDAZOLE	   METROZOLE          		115286	0.01	-8.15	7535	0.04	-8.15	125522	0.01	102.97	8204	0.04	102.97	  METRONIDAZOLE
WERRICK PHARMA	  METRONIDAZOLE	   MENIDAZOLE         		10985	0	-93.86	359	0	-93.86	178826	0.01	-94.89	5844	0.03	-94.89	  METRONIDAZOLE
KARMANN PHARMA	  METRONIDAZOLE	   PROZYL             		1724	0	999	78	0	999	0	0	0	0	0	0	  METRONIDAZOLE
STANLEY PHARMA	  METRONIDAZOLE	   RIAM               		202149977	51.1	11.43	629771	45.06	-3.89	181414174	47.76	56.95	655281	43.73	21.49	  METRONIDAZOLE
THE SEARLE COMPANY	  METRONIDAZOLE	   METROZINE          		188435829	47.64	-3.25	719429	51.47	-7.34	194773605	51.27	-4.42	776428	51.81	-22.19	  METRONIDAZOLE
SWISS PHARMA	  METRONIDAZOLE	   DIAGYL             		2053750	0.52	999	7344	0.53	999	0	0	0	0	0	0	  METRONIDAZOLE
RASCO PHARMA	  METRONIDAZOLE	   RESGYL             		1376660	0.35	-51.52	27557	1.97	-53.21	2839561	0.75	435.88	58898	3.93	394.77	  METRONIDAZOLE
MUNAWAR PHARMA	  METRONIDAZOLE	   METRONIDAZOLE      		777825	0.2	335.57	10371	0.74	335.57	178575	0.05	543.51	2381	0.16	543.51	  METRONIDAZOLE
SAFE PHARMA	  METRONIDAZOLE	   FASIGYL            		595850	0.15	203.65	1793	0.13	90.95	196231	0.05	-53.07	939	0.06	-56.18	  METRONIDAZOLE
GLITZ PHARMA	  METRONIDAZOLE	   GRANID             		114460	0.03	174.65	596	0.04	174.65	41675	0.01	-49.06	217	0.01	-49.06	  METRONIDAZOLE
KATRINA PHAR.	  METRONIDAZOLE	   METRONIDAZOLE      		31950	0.01	-84.9	426	0.03	-84.9	211575	0.06	422.41	2821	0.19	422.41	  METRONIDAZOLE
SIZA	  METRONIDAZOLE	   METRONIDAZOLE      		28118	0.01	-32.22	345	0.02	-32.22	41484	0.01	999	509	0.03	999	  METRONIDAZOLE
UMERSONS	  METRONIDAZOLE	   DYSO 4             		0	0	-100	0	0	-100	5727	0	999	83	0.01	999	  METRONIDAZOLE
SAMI	  METRONIDAZOLE	   KLINT              		0	0	-100	0	0	-100	126361	0.03	-98.54	420	0.03	-98.54	  METRONIDAZOLE
NAWABSONS	  METRONIDAZOLE	   METRONIDAZOLE      		0	0	0	0	0	0	0	0	-100	0	0	-100	  METRONIDAZOLE
ALBRO	  METRONIDAZOLE	   PROMET             		0	0	-100	0	0	-100	17268	0	999	239	0.02	999	  METRONIDAZOLE
HARMANN	  METRONIDAZOLE	   PROTOGYL           		0	0	0	0	0	0	0	0	-100	0	0	-100	  METRONIDAZOLE
SEMOS PHARMA	  METRONIDAZOLE	   SEMODAZOL          		0	0	-100	0	0	-100	28560	0.01	999	408	0.03	999	  METRONIDAZOLE
ASTER LIFE SCIENCE	  METRONIDAZOLE	 PARENT ORD VI		56706891	0.62	34.34	479632	1.06	32.01	42212659	0.57	79.12	363333	0.82	49.44	  METRONIDAZOLE
KAIR PHARMA	  METRONIDAZOLE	   MIDAZOLE           		56706891	100	34.34	479632	100	32.01	42212659	100	79.12	363333	100	49.44	  METRONIDAZOLE
SHAIGAN PHARMA	  METRONIDAZOLE	   METNI V            		12905440	100	15.36	77052	100	7.43	11187050	100	31.88	71721	100	17.09	  METRONIDAZOLE
KAIZEN PHARMA PVT	  METRONIDAZOLE	   REVOMET            		1863195	100	5.55	22657	100	-8.2	1765251	100	-1.37	24680	100	-3.48	  METRONIDAZOLE
SAFE PHARMA	  METRONIDAZOLE	   FASIGYL            		102417	100	-18.02	1480	100	-45.67	124927	93.66	-94.84	2724	87.31	-95.32	  METRONIDAZOLE
HASSAN PHARMA	  METRONIDAZOLE	   METROFED           		0	0	0	0	0	0	0	0	-100	0	0	-100	  METRONIDAZOLE
SPENCER PHARMA	  METRONIDAZOLE	   TRICHOZOLE         		0	0	-100	0	0	-100	8458	6.34	999	396	12.69	999	  METRONIDAZOLE
SHAIGAN PHARMA	  BROMOCRIPTINE	   BROTIN             		172141585	100	17.38	306122	100	4.68	146650962	100	14.15	292444	100	-2.24	  BROMOCRIPTINE
EXCEL HEALTH CARE	  LETROZOLE	   LEZRA              		470776746	29.69	11.76	68552	10.84	11.76	421241901	33.45	22.58	61339	12.91	22.58	  LETROZOLE
GALAXY PHARMA PVT.	  LETROZOLE	   AROMEK             		241955413	15.26	21.65	70880	11.21	-6.9	198892356	15.8	22.65	76136	16.03	21.18	  LETROZOLE
HIGH-Q INTL	  LETROZOLE	   LETOCOR            		134536091	8.48	24.45	66225	10.48	24.45	108102211	8.58	67.28	53213	11.2	67.28	  LETROZOLE
ATCO	  LETROZOLE	   ACUELETZ           		92477000	5.83	999	66055	10.45	999	0	0	0	0	0	0	  LETROZOLE
GENIX PHARMA	  LETROZOLE	   LETS               		92463680	5.83	0.73	33994	5.38	-6.33	91796260	7.29	-3.2	36290	7.64	-8.09	  LETROZOLE
NABIQASIM	  LETROZOLE	   ESTROLET           		82126660	5.18	11.57	43918	6.95	11.57	73612550	5.85	9.02	39365	8.29	-4.14	  LETROZOLE
SAFFRON PHARMA	  LETROZOLE	   ZOLARA             		56856500	3.59	50.92	23137	3.66	24.72	37673700	2.99	49.58	18551	3.91	48.71	  LETROZOLE
SAMI	  LETROZOLE	   GRUDIZ             		51953700	3.28	662.31	30561	4.83	662.31	6815300	0.54	999	4009	0.84	999	  LETROZOLE
HORIZON HEALTHCARE	  LETROZOLE	   ROZOLET            		49246365	3.11	10.36	27589	4.36	7.85	44621430	3.54	26.3	25582	5.39	6.83	  LETROZOLE
HIGHNOON	  LETROZOLE	   HITASE             		40358000	2.54	14.85	23740	3.76	14.85	35139000	2.79	32.73	20670	4.35	32.73	  LETROZOLE
PHARMEVO PVT. LTD.	  LETROZOLE	   RETZOLE            		32171480	2.03	-21.25	22264	3.52	-21.25	40853040	3.24	44.24	28272	5.95	30.21	  LETROZOLE
BRISTOL MAYER BIOT	  LETROZOLE	   BRISTOZOLE         		30750790	1.94	140.26	51682	8.18	140.26	12799045	1.02	603.89	21511	4.53	603.89	  LETROZOLE
MARTIN DOW LIMITED	  LETROZOLE	   LEBRETA            		28164750	1.78	149.04	7574	1.2	326.94	11309250	0.9	999	1774	0.37	999	  LETROZOLE
HELIX PHARMA PVT L	  LETROZOLE	   OOLET              		24762795	1.56	23.38	15333	2.43	23.38	20069605	1.59	50.45	12427	2.62	50.45	  LETROZOLE
BOSCH	  LETROZOLE	   LETROSCH           		21724300	1.37	999	12779	2.02	999	0	0	0	0	0	0	  LETROZOLE
SAFE PHARMA	  LETROZOLE	   LETROCOR           		18703581	1.18	63.84	2453	0.39	-13.17	11415475	0.91	187.33	2825	0.59	33.51	  LETROZOLE
NEUTRO PHARMA	  LETROZOLE	   NEULETROZ          		16978750	1.07	-13.01	19975	3.16	-13.01	19518550	1.55	218.36	22963	4.83	218.36	  LETROZOLE
SCOTMANN PHARMA	  LETROZOLE	   SENORA             		13477175	0.85	-10.71	13378	2.12	-22.78	15093537	1.2	9.65	17324	3.65	9.65	  LETROZOLE
CELL LABORATORIES	  LETROZOLE	   CELLZOL            		11381500	0.72	-59.08	2678	0.42	-59.08	27812000	2.21	0.31	6544	1.38	0.31	  LETROZOLE
NOVARTIS ONCOLOGY	  LETROZOLE	   FEMARA             		244534361	62.18	41.78	23494	25.48	38.3	172480197	56.61	19.94	16988	23.23	0.7	  LETROZOLE
PHARMEDIC	  LETROZOLE	   LETROZONE          		50273250	12.78	23.72	25390	27.53	6.23	40633400	13.34	3.73	23902	32.69	3.73	  LETROZOLE
SERAPH PHARMA	  LETROZOLE	   SELET              		24991020	6.36	151.8	16334	17.71	151.8	9925110	3.26	649.94	6487	8.87	649.94	  LETROZOLE
GENETICS PHARMA	  LETROZOLE	   AVEGEST            		22715400	5.78	-28.66	4454	4.83	-29.61	31841850	10.45	107.13	6328	8.65	57.45	  LETROZOLE
ACUMEN PHARMA	  LETROZOLE	   LETROWIN           		21115275	5.37	43.53	11873	12.88	67.13	14710950	4.83	-47.4	7104	9.71	-14.81	  LETROZOLE
MASS-PHARMA HEALTH	  LETROZOLE	   FEMPRO             		17499800	4.45	12.9	7784	8.44	-8.15	15499750	5.09	1.96	8475	11.59	-5.22	  LETROZOLE
PACIFIC	  LETROZOLE	   FEMIZOLE           		12108675	3.08	-38.22	2887	3.13	-24.88	19599300	6.43	5.17	3843	5.26	5.17	  LETROZOLE
BIO-LABS	  LETROZOLE	   LETFER             		0	0	0	0	0	0	0	0	-100	0	0	-100	  LETROZOLE
AGP LIMITED	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   OSNATE-D           		1844700772	91.81	24.6	3945884	88.86	7.05	1480556228	89.84	30.45	3686032	86.86	6.9	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
GETZ PHARMA	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   OSAM-D             		97662979	4.86	-5.31	212237	4.78	-21.03	103136730	6.26	1.51	268753	6.33	-14.92	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
ASIAN CONTINENTAL	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   SCOXY              		28880294	1.44	3.72	143577	3.23	-5.76	27843427	1.69	-6.68	152358	3.59	-6.68	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
SHAIGAN PHARMA	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   ZYBON-D            		19828035	0.99	11.31	77757	1.75	11.31	17813790	1.08	-25.99	69858	1.65	-21.12	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
BARRETT HODGSON	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   ESEGROW D          		18223959	0.91	-2.58	61257	1.38	-8.4	18707312	1.14	11.08	66876	1.58	-4.96	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
CARAWAY PHARMA	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   COSMOCAL-D         		0	0	-100	0	0	-100	255	0	-99.34	2	0	-99.34	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
SAMI	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX	   INTIG-D            		433290993	40.8	-12.17	1067401	34.39	-18.56	493323325	48.03	26.71	1310620	39.78	1.26	  COLECALCIFEROL+COLLAGEN HYDROXYAPATITE COMPLEX
